artist,title,url
Jonas Brothers,Keep It Real #Official,https://youtu.be/RXsMCTvGV0E
JONAS L.A,Your Biggest Fan #Official #HD,https://youtu.be/LhpP7oRcgW8
Panic! At The Disco,Dancing's Not A Crime #Official,https://youtu.be/rODNMWBLZzY
Panic! At The Disco,High Hopes #Official,https://youtu.be/IPXIgEAGe4U
Panic! At The Disco,"Hey Look Ma,  I Made It #OFFICIAL",https://youtu.be/BzbxacRr5Gk
Panic! At The Disco,Say Amen (Saturday Night) #OFFICIAL,https://youtu.be/jVXauWq9Hwg
Panic! At The Disco,Death Of A Bachelor #OFFICIAL,https://youtu.be/R03cqGg40GU
Panic! At The Disco,LA Devotee #OFFICIAL,https://youtu.be/r5dNcKTcnPA
Panic! At The Disco,Don't Threaten Me With A Good Time #OFFICIAL,https://youtu.be/H5NqIsnyTG8
Panic! At The Disco,Victorious #OFFICIAL,https://youtu.be/AUChk0lxF44
Panic! At The Disco,Emperor's New Clothes #OFFICIAL,https://youtu.be/7qFF2v8VsaA
Panic! At The Disco,Hallelujah #OFFICIAL,https://youtu.be/DxYyHHR0Q1c
Panic! At The Disco,Girls/Girls/Boys #OFFICIAL,https://youtu.be/Yk8jV7r6VMk
Panic! At The Disco,This Is Gospel #OFFICIAL,https://youtu.be/tGE381tbQa8
Panic! At The Disco,Nicotine #OFFICIAL,https://youtu.be/LkBxcmxWKAA
Panic! At The Disco,Miss Jackson ft. LOLO #OFFICIAL,https://youtu.be/LUc_jXBD9DU
Panic! At The Disco,Let's Kill Tonight #OFFICIAL,https://youtu.be/uu2XSQgdQDY
Panic! At The Disco,Ready To Go #OFFICIAL,https://youtu.be/0xDf-_8KvGM
Panic! At The Disco,The Ballad Of Mona Lisa #OFFICIAL,https://youtu.be/gOgpdp3lP8M
Panic! At The Disco,Northern Downpour #OFFICIAL,https://youtu.be/zouSojyIi94
Panic! At The Disco,New Perspective #OFFICIAL,https://youtu.be/d3sA5plF6kE
Panic! At The Disco,That Green Gentleman #OFFICIAL,https://youtu.be/3f3K2sEHuIM
Panic! At The Disco,Nine In The Afternoon #OFFICIAL,https://youtu.be/yCto3PCn8wo
Panic! At The Disco,"Build God, Then We'll Talk #OFFICIAL",https://youtu.be/TFSIm3Zeecg
Panic! At The Disco,Lying Is The Most Fun... #OFFICIAL,https://youtu.be/8AZxUtZ2ZgI
Panic! At The Disco,But It's Better If You Do #OFFICIAL,https://youtu.be/uBtH2YlNiNc
Panic! At The Disco,I Write Sins Not Tragedies #OFFICIAL,https://youtu.be/vc6vs-l5dkc
Charlie Puth,Girlfriend #Official,https://youtu.be/asYfhMHAgqs
Summer Feelings,Lennon Stella feat. Charlie Puth (from Scoob! The Album) #Official,https://youtu.be/ciYqExAGO24
Charlie Puth,Attention #Official,https://youtu.be/nfs8NYg7yQM
Charlie Puth,How Long #Official,https://youtu.be/CwfoyVa980U
Charlie Puth,Done For Me (feat. Kehlani) #Official,https://youtu.be/TdyllLZeviY
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez) #Official,https://youtu.be/3AtDnEC4zak
Charlie Puth,Mother #Official,https://youtu.be/jTMzLbz9_r0
Charlie Puth,I Warned Myself #Official,https://youtu.be/wjIes1eGAw4
Charlie Puth,Cheating on You #Official,https://youtu.be/fOoSbUoayQE
Charlie Puth,Dangerously #Official,https://youtu.be/TBXQu8ORnBQ
Charlie Puth,One Call Away #Official,https://youtu.be/BxuY9FET9Y4
Wiz Khalifa,See You Again ft. Charlie Puth #Official,https://youtu.be/RgKAFK5djSk
Charlie Puth,Marvin Gaye ft. Meghan Trainor #Official,https://youtu.be/igNVdlXhKcI
Lil Wayne & Charlie Puth,Nothing But Trouble #Official,https://youtu.be/MKVBLu1zkog
The Avalanches,"Running Red Lights (ft. Rivers Cuomo, Pink Siifu) #Official",https://youtu.be/nsjQ3Gblzys
The Avalanches,Because I'm Me #Official,https://youtu.be/eu0KsZ_MVBc
The Avalanches,Since I Left You #Official,https://youtu.be/aUyKdaNKHzo
The Avalanches,Frontier Psychiatrist #Official,https://youtu.be/eS3AZ12xf6s
The Avalanches,Subways #Official,https://youtu.be/bPIMfOIuEe4
The Avalanches,"Wherever You Go (ft. Jamie xx, Neneh Cherry, CLYPSO) #Visualiser",https://youtu.be/939w8RwaLSY
The Avalanches,Colours #Official,https://youtu.be/zLRPDovCpmM
The Avalanches,Music Makes Me High #Official,https://youtu.be/bdvxzc7FLow
The Avalanches,We Will Always Love You (feat. Blood Orange) #Official,https://youtu.be/GUhVBufwQQY
The Avalanches,"Take Care In Your Dreaming (feat. Denzel Curry, Tricky, Sampa The Great)",https://youtu.be/8yTtE-B7NpM
The Avalanches,"The Divine Chord ft. MGMT, Johnny Marr",https://youtu.be/TvZpn322LxE
The Avalanches,"Reflecting Light (ft. Sananda Maitreya, Vashti Bunyan) #Visualiser",https://youtu.be/GAPlnoeEcH0
The Avalanches + Soda_Jerk,The Was (2016),https://youtu.be/3VN93T7m0-U
The Avalanches,Frankie Sinatra #Official,https://youtu.be/SjfspM5sDIA
The Avalanches,Stalking To A Stranger,https://youtu.be/g2plyfz_v9g
PUBLIC,Splash,https://youtu.be/w32WUW7l0RI
PUBLIC,Make You Mine (Put Your Hand in Mine) #Official,https://youtu.be/nLnp0tpZ0ok
PUBLIC,One That I Want #Official,https://youtu.be/LIBi7RMEy-g
PUBLIC,Honey In The Summer,https://youtu.be/YQooFblMbis
Mabel,Loneliest Time Of Year,https://youtu.be/hVzjR6hBArE
"Tiesto, Mabel",God Is A Dancer #Official,https://youtu.be/jnwDkVo6DxA
Mabel,OK (Anxiety Anthem),https://youtu.be/sO4nmSLFcX4
Mabel,Mad Love,https://youtu.be/hY1tULEr4-4
Mabel,Bad Behaviour,https://youtu.be/Hue77rbsFlU
Mabel,Don't Call Me Up #Official,https://youtu.be/9TQKyDD9Yig
Mabel,Finders Keepers (ft. Kojo Funds) #Official,https://youtu.be/O3TDhPVx1Do
"Jax Jones, Mabel",Ring Ring (ft. Rich The Kid) #Official,https://youtu.be/KXanlLjOFh0
Mabel,One Shot #Official,https://youtu.be/RziHzAzzS1c
"Mabel, Not3s",Fine Line #Official,https://youtu.be/GJTtiYMdMtk
"RAYE, Mabel, Stefflon Don",Cigarette #Official,https://youtu.be/Z_xsgfOWpY4
"Not3s, Mabel",My Lover #RadioEdit #Official,https://youtu.be/XataOVgLvEQ
Mabel,Bedroom #Official,https://youtu.be/azLpa8FUhio
Mabel x Tate Modern,Talk About Forever | Tate,https://youtu.be/aiFsQ0wusz4
Mabel,Thinking Of You #Official,https://youtu.be/rnFxtAcGWws
Mabel,My Boy My Town #Official,https://youtu.be/7X21ynBma6M
Clean Bandit,Higher (feat. iann dior) #Official,https://youtu.be/Rqsfa5At214
Clean Bandit and Mabel,Tick Tock (feat. 24kGoldn) #Official,https://youtu.be/yC8SPG2LwSA
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie) #Official,https://youtu.be/papuvlVeZg8
Clean Bandit,Solo (feat. Demi Lovato) #Official,https://youtu.be/8JnfIa84TnU
Clean Bandit,Rather Be ft. Jess Glynne #Official,https://youtu.be/m-M1AtrxztU
Clean Bandit,Symphony (feat. Zara Larsson) #Official,https://youtu.be/aatr_2MstrI
Clean Bandit,Tears (feat. Louisa Johnson) #Official,https://youtu.be/dc-nyGo0aC8
Clean Bandit & Jess Glynne,Real Love #Official,https://youtu.be/qdo_-U4PEsk
