kanji
肝玉
官庁
官能
教官
冠詞
王冠
栄冠
巻頭
圧巻
一巻
巻貝
看護
看破
看板
陥落
陥没
欠陥
乾燥
乾杯
乾電池
勘弁
勘当
患者
疾患
長患
貫通
縦貫
尺貫法
寒暑
寒村
厳寒
寒空
喚問
召喚
叫喚
堪忍
換気
換算
交換
敢然
果敢
勇敢
石棺
出棺
定款
借款
落款
間隔
中間
時間
世間
人間
間柄
間違
客間
閑静
閑却
繁閑
勧誘
勧奨
勧告
寛大
寛容
寛厳
幹線
幹事
根幹
感心
感覚
直感
漢字
漢語
門外漢
慣例
慣性
習慣
管理
管制
鉄管
関節
関係
関取
関山
歓迎
歓声
交歓
監視
監督
総監
